Num,Hotel Name,Price,Rating,Comments Count,Address
53,汉庭酒店(杭州火车东站店),¥406起,4.8,共1122条点评,天城路87号
54,汉庭酒店(杭州九堡地铁站店),¥254起,4.9,共263条点评,杭海路1183号
55,如家酒店(杭州四季青服装市场庆春东路店),¥222起,4.4,共669条点评,庆春东路66-8号
56,如家酒店(杭州西湖科技园浙大紫金港校区振华路店),¥255起,4.5,共675条点评,振华路199号
57,如家酒店(杭州好运路杭行路地铁站店),¥227起,4.8,共885条点评,好运路193号
58,如家酒店·neo(杭州河坊街江城路地铁站店),¥322起,4.3,共726条点评,斗富二桥40号
59,如家酒店NEO(杭州庆春路中山北路店),¥367起,4.1,共869条点评,庆春路148号
60,布丁酒店(杭州汽车南站店),¥231起,4.2,共183条点评,秋涛路256号秋涛发展大厦C座4层
61,锐思特酒店(杭州西湖武林广场凤起路地铁站店),¥456起,4.5,共1106条点评,仙林桥直街18号
62,布丁酒店(杭州汽车南站店),¥231起,4.2,共183条点评,秋涛路256号秋涛发展大厦C座4层
63,青皮树酒店(杭州临安钱王大街店),¥121起,4.3,共252条点评,钱王街1365号
64,ANYA Hotel(杭州星澜里店),¥327起,4.8,共238条点评,西兴街道西兴路2333号兴耀星澜之城T2幢2楼
65,如家酒店(杭州下沙文渊路传媒学院店),¥152起,4.5,共691条点评,下沙文渊路291号
66,亚伯瀚姆·湖景公寓(杭州大江东宝龙广场店),¥122起,4.9,共1153条点评,大江东宝龙广场55幢(D座)408
67,汉庭优佳酒店(杭州公望街地铁站店),¥171起,4.9,共526条点评,富春街道公望街471-5二楼、471-6二楼
68,普宿青年旅舍(杭州站店),¥47起,4.4,共206条点评,清泰街509号富春大厦4楼
69,杭州驿联酒店,¥162起,4.9,共602条点评,临平街道星火南路26号1楼
70,湖诗民宿(西湖浙二医院店),¥281起,5.0,共4条点评,清泰街456号
71,优美电竞酒店(杭州下沙传媒大学店),¥158起,4.9,共230条点评,学源街1138-2号
72,华人易居公寓(杭州永和之星新街地铁站店),¥235起,4.9,共852条点评,戚枫西路永和之星名座2幢10楼1008室
73,嘉睿·云宿(浙一医院杭州火车西站店),¥208起,5.0,共94条点评,余杭塘路2853号宝晋未来商业中心7幢1层
74,怡莱精品酒店(杭州萧山银隆百货市心中路店),¥153起,4.4,共324条点评,市心中路258号银隆百货B座一楼
75,如家酒店(杭州天目山路西溪店),¥427起,4.7,共1239条点评,天目山路325号
76,海友酒店(杭州西湖科技园紫萱路店),¥195起,4.8,共241条点评,紫萱路279号
77,麦尖竞宿电竞酒店(滨江星光大道江汉路地铁站店),¥280起,4.8,共741条点评,泰安路9号星光中心11楼
78,如家酒店(杭州文二路学院地铁站黄龙万科中心店),¥271起,4.5,共583条点评,学院路151号
79,汉庭酒店(杭州大悦城店),¥342起,5.0,共1075条点评,莫干山路691号(与余杭塘路交叉口处)
80,汉庭酒店(杭州文三路地铁站店),¥335起,4.6,共402条点评,文三路453号中茵大厦A座
81,网鱼电竞酒店(浙江工业大学店),¥384起,4.9,共10条点评,绍兴路400号
82,如家酒店(杭州文二路学院地铁站黄龙万科中心店),¥271起,4.5,共583条点评,学院路151号
83,汉庭酒店(杭州文三路地铁站店),¥335起,4.6,共402条点评,文三路453号中茵大厦A座
84,细拉公寓式酒店(杭州银泰城临平地铁站店),¥136起,4.9,共405条点评,南苑街道世纪大道118号理想银泰城A座2610号
85,Zsmart智尚酒店(杭州万达广场汽车城店),¥156起,4.6,共512条点评,广丰街101号宜家时代大厦1幢
86,澳美·影院美宿(九堡四季青服装大市场店),¥174起,4.9,共49条点评,云裳直街九天泽一金座2幢2单元326A
87,柒禧云服务式公寓(杭州EFC欧美金融城店),¥212起,4.9,共891条点评,仓前街道欧美金融城T7南楼-424
88,杭州晚舟酒店(新镇路地铁站店),¥109起,4.1,共320条点评,钱塘新区义蓬街道金融路159号
89,亚杭公寓(杭州火车西站浙一医院店),¥149起,4.8,共21条点评,仓前街道富力中心2幢24楼2401室
90,杭州奥悦酒店(人民路地铁站店),¥156起,4.7,共713条点评,城厢街道新世纪广场A座3层
91,杭州临安罗雅酒店,¥203起,4.9,共342条点评,石镜街888号
92,梦想爱家酒店(杭州临平银泰地铁站店),¥113起,4.3,共140条点评,迎宾路570-4号201室
93,杭州乐家酒店式公寓万通中心店,¥314起,4.8,共625条点评,万通中心b座3楼307房
94,布丁酒店(杭州西湖武林夜市店),¥382起,4.2,共965条点评,中山北路171号观巷4号
95,天后-碳先生酒店(下沙大学城传媒学院店),¥165起,4.9,共54条点评,下沙街道学源街1165号
96,杭州铂恩城市酒店(下沙金沙湖地铁站店),¥317起,4.9,共618条点评,金沙大道滟澜星座2幢1楼
