id,prodName,pubDate,lowPrice,highPrice,avgPrice,place
1582736,腔排骨,2024-03-10 00:00:00,11.5,12.5,12.0,
1582735,梅花骨,2024-03-10 00:00:00,8.0,9.0,8.5,
1582734,棒骨,2024-03-10 00:00:00,7.5,8.5,8.0,
1582733,猪头,2024-03-10 00:00:00,8.5,8.5,8.5,
1582732,猪口条,2024-03-10 00:00:00,14.0,14.0,14.0,
1582731,猪耳,2024-03-10 00:00:00,25.0,25.0,25.0,
1582730,猪脑,2024-03-10 00:00:00,20.0,22.0,21.0,
1582729,猪肚,2024-03-10 00:00:00,24.0,25.0,24.5,
1582728,猪板油,2024-03-10 00:00:00,5.0,6.0,5.5,
1582727,肥膘肉,2024-03-10 00:00:00,3.0,5.0,4.0,
1582726,猪腰子,2024-03-10 00:00:00,23.0,24.0,23.5,
1582725,猪心,2024-03-10 00:00:00,8.0,8.0,8.0,
1582724,猪肝,2024-03-10 00:00:00,4.0,5.0,4.5,
1582723,猪肺,2024-03-10 00:00:00,3.5,4.0,3.75,
1582722,猪皮,2024-03-10 00:00:00,4.0,5.0,4.5,
1582721,猪肠头,2024-03-10 00:00:00,20.0,20.0,20.0,
1582720,猪肠,2024-03-10 00:00:00,18.0,18.0,18.0,
1582719,整牛,2024-03-10 00:00:00,25.5,26.0,25.75,
1582718,牛前腱,2024-03-10 00:00:00,31.0,33.0,32.0,
1582717,牛后腱,2024-03-10 00:00:00,31.0,32.0,31.5,
1582716,牛前腿,2024-03-10 00:00:00,27.0,28.0,27.5,
1582715,牛后腿,2024-03-10 00:00:00,27.0,28.0,27.5,
1582714,牛腰窝,2024-03-10 00:00:00,29.0,30.0,29.5,
1582713,肥牛,2024-03-10 00:00:00,28.0,35.0,31.5,
1582712,牛柳,2024-03-10 00:00:00,33.0,34.0,33.5,
1582711,精牛柳,2024-03-10 00:00:00,35.0,35.0,35.0,
1582710,牛腩,2024-03-10 00:00:00,27.0,28.0,27.5,
1582709,牛林,2024-03-10 00:00:00,27.0,27.0,27.0,
1582708,牛金钱腱,2024-03-10 00:00:00,48.0,50.0,49.0,
1582707,牛筋头巴脑,2024-03-10 00:00:00,23.0,25.0,24.0,
1582706,牛宝,2024-03-10 00:00:00,18.0,18.0,18.0,
1582705,牛鞭,2024-03-10 00:00:00,65.0,70.0,67.5,
1582704,牛油,2024-03-10 00:00:00,5.0,5.5,5.25,
1582703,牛心,2024-03-10 00:00:00,7.0,8.0,7.5,
1582702,牛舌,2024-03-10 00:00:00,27.0,29.0,28.0,
1582701,牛骨,2024-03-10 00:00:00,4.5,5.0,4.75,
1582700,牛排骨,2024-03-10 00:00:00,29.0,30.0,29.5,
1582699,牛蹄筋,2024-03-10 00:00:00,24.0,25.0,24.5,
1582698,牛板筋,2024-03-10 00:00:00,30.0,30.0,30.0,
